product,name_cn,sector,intl_pricing,benchmark_etfs
A,豆一,农产品-油脂油料,partial,SOYB
AD,铸造铝合金,有色金属,partial,DBB
AG,白银,贵金属,international,SLV
AL,铝,有色金属,international,DBB
AO,氧化铝,有色金属,partial,DBB
AP,苹果,农产品-软商品,domestic,
AU,黄金,贵金属,international,GLD
B,豆二,农产品-油脂油料,international,SOYB
BB,胶合板,林木与纸,domestic,
BC,国际铜,有色金属,international,CPER;DBB
BR,丁二烯橡胶,化工,partial,USO
BU,石油沥青,化工,partial,USO;BNO
BZ,纯苯,化工,partial,USO
C,玉米,农产品-谷物,domestic,CORN
CF,棉花,农产品-软商品,partial,BAL
CJ,红枣,农产品-软商品,domestic,
CS,玉米淀粉,农产品-谷物,domestic,CORN
CU,铜,有色金属,international,CPER;DBB
CY,棉纱,农产品-软商品,domestic,BAL
EB,苯乙烯,化工,partial,USO
EC,集运指数欧线,航运,partial,BDRY
EG,乙二醇,化工,partial,USO
FB,纤维板,林木与纸,domestic,
FG,玻璃,化工,domestic,
FU,燃料油,能源,international,USO;BNO;DBE
HC,热轧卷板,黑色金属,domestic,SLX
I,铁矿石,黑色金属,partial,SLX
IC,中证500,股指,partial,FXI
IF,沪深300,股指,partial,FXI
IH,上证50,股指,partial,FXI
IM,中证1000,股指,partial,FXI;KWEB
J,焦炭,黑色金属,domestic,
JD,鸡蛋,农产品-畜牧,domestic,
JM,焦煤,黑色金属,domestic,
JR,粳稻,农产品-谷物,domestic,
L,聚乙烯,化工,partial,USO
LC,碳酸锂,新能源金属,partial,LIT
LG,原木,林木与纸,partial,
LH,生猪,农产品-畜牧,domestic,
LR,晚籼稻,农产品-谷物,domestic,
LU,低硫燃料油,能源,international,USO;BNO;DBE
M,豆粕,农产品-油脂油料,partial,SOYB
MA,甲醇,化工,partial,USO;UNG
NI,镍,有色金属,international,JJN;DBB
NR,20号胶,化工,partial,
OI,菜籽油,农产品-油脂油料,partial,DBA
OP,胶版印刷纸,林木与纸,domestic,
P,棕榈油,农产品-油脂油料,international,DBA
PB,铅,有色金属,international,DBB
PD,钯,贵金属,international,PALL
PF,涤纶短纤,化工,partial,USO
PG,液化石油气,能源,partial,USO;DBE
PK,花生,农产品-油脂油料,domestic,
PL,丙烯,化工,partial,USO
PM,普麦,农产品-谷物,domestic,WEAT
PP,聚丙烯,化工,partial,USO
PR,瓶片,化工,partial,USO
PS,多晶硅,新能源金属,domestic,
PT,铂,贵金属,international,PPLT
PX,对二甲苯,化工,partial,USO
RB,螺纹钢,黑色金属,domestic,SLX
RI,早籼稻,农产品-谷物,domestic,
RM,菜籽粕,农产品-油脂油料,partial,DBA
RR,粳米,农产品-谷物,domestic,
RS,油菜籽,农产品-油脂油料,domestic,
RU,天然橡胶,化工,partial,
SA,纯碱,化工,domestic,
SC,原油,能源,international,USO;BNO;DBE
SF,硅铁,黑色金属,domestic,
SH,烧碱,化工,domestic,
SI,工业硅,新能源金属,domestic,
SM,锰硅,黑色金属,domestic,
SN,锡,有色金属,international,DBB
SP,纸浆,林木与纸,partial,
SR,白糖,农产品-软商品,partial,CANE
SS,不锈钢,有色金属,partial,JJN
T,10年期国债,国债,domestic,TLT
TA,PTA,化工,partial,USO
TF,5年期国债,国债,domestic,TLT
TL,30年期国债,国债,domestic,TLT
TS,2年期国债,国债,domestic,TLT
UR,尿素,化工,partial,
V,聚氯乙烯,化工,domestic,
WH,强麦,农产品-谷物,domestic,WEAT
WR,线材,黑色金属,domestic,
Y,豆油,农产品-油脂油料,partial,SOYB;DBA
ZC,动力煤,能源,domestic,
ZN,锌,有色金属,international,DBB
